PriceTable,ItemGroup,ItemName,ItemId,PR,ProcCode,StartMonth,EndMonth,ChargeAmt,AllowAmt,Modifier1,Modifier2,Modifier3,Modifier4,ItemKey,PriceTableKey,AcceptAssignment,StockUomAbbr,StockUomName
Commercial,Bathroom Aids,"CATHETER, URETH INTMT TWIST FML 8FR (30/BX 10BX/CS",1005463-T8,Purchase,A4351,1,99999,2.2680,2.2680,,,,,1180,103,True,EA,Each(es)
Commercial,Bathroom Aids,"CATHETER, URETH INTMT TWIST FML 16FR (30/BX 10BX/C",1005465-T16,Purchase,A4351,1,99999,2.2680,2.2680,,,,,1184,103,True,EA,Each(es)
Commercial,,Gastrostomy Feeding Tube Mic-Key® 14 Fr. 2.5 cm,1019948 Each,Purchase,B4088,1,99999,46.4160,46.4160,,,,,894,103,True,EA,Each(es)
Commercial,Bathroom Aids,"CATHETER, INTERMITTENT FML 6"" 10FR (30/BX 10BX/CS)",1020188-Ultra10,Purchase,A4351,1,99999,2.2680,2.2680,,,,,1158,103,True,EA,Each(es)
Commercial,Bathroom Aids,"CATHETER, INTERMITTENT FML 6"" 12FR (30/BX 10BX/CS)",1020189-Ultra12,Purchase,A4351,1,99999,2.2680,2.2680,,,,,1156,103,True,EA,Each(es)
Commercial,Bathroom Aids,"CATHETER, INTERMITTENT FML 6"" 14FR (30/BX 10BX/CS)",1020190-Ultra14,Purchase,A4351,1,99999,2.2680,2.2680,,,,,1148,103,True,EA,Each(es)
Commercial,Bathroom Aids,"CATHETER, INTERMITTENT FML 6"" 16FR (30/BX 10BX/CS)",1020191-Ultra16,Purchase,A4351,1,99999,2.2680,2.2680,,,,,1144,103,True,EA,Each(es)
Commercial,Bathroom Aids,"CATHETER, INTERMITTENT FML 6"" 8FR (30/BX 10BX/CS)",1020192- Ultra8,Purchase,A4351,1,99999,2.2680,2.2680,,,,,1142,103,True,EA,Each(es)
Commercial,Bathroom Aids,Urethral Catheter McKesson Straight Tip Uncoated,1020813 BOX,Purchase,A4351,1,99999,2.2680,2.2680,,,,,938,103,True,BX,Box(es)
Commercial,Bathroom Aids,Urethral Catheter McKesson Straight Tip Uncoated,1020813 CASE,Purchase,A4351,1,99999,2.2680,2.2680,,,,,939,103,True,CA,Case(s)
Commercial,Bathroom Aids,Urethral Catheter McKesson Straight Tip Uncoated,1020813 EACH,Purchase,A4351,1,99999,2.2680,2.2680,,,,,937,103,True,EA,Each(es)
Commercial,Bathroom Aids,"CATHETER, URETHRAL STRAIGHT TIP UNCOATED PVC MALE",1020817 BOX,Purchase,A4351,1,99999,2.2680,2.2680,,,,,796,103,True,BX,Box(es)
Commercial,Bathroom Aids,"CATHETER, URETHRAL STRAIGHT TIP UNCOATED PVC MALE",1020817 CASE,Purchase,A4351,1,99999,2.2680,2.2680,,,,,797,103,True,CA,Case(s)
Commercial,Bathroom Aids,"CATHETER, URETHRAL STRAIGHT TIP UNCOATED PVC MALE",1020817 EACH,Purchase,A4351,1,99999,2.2680,2.2680,,,,,795,103,True,EA,Each(es)
Commercial,Bathroom Aids,"CATHETER, INTMT W/LUBE/GRIP SLV 14FR 25"" (30/BX 10",1021100-M14XL,Purchase,A4351,1,99999,2.2680,2.2680,,,,,1212,103,True,EA,Each(es)
Commercial,Ambulatory Aids,Enteral Feeding / Irrigation Syringe Vesco® 5 mL,1029294 EACH,Purchase,A4322,1,99999,4.4760,4.4760,,,,,1130,103,True,EA,Each(es)
Commercial,,"INSERTION KIT, CATH URETH STR STRT TP FML 8FRX6"" (",1034689-T8K,Purchase,A4353,1,99999,10.2720,10.2720,,,,,1178,103,True,EA,Each(es)
Commercial,,"INSERTION KIT, CATH URETH STR STRT TP FML10FRX6""(3",1034690-T10K,Purchase,A4353,1,99999,10.2720,10.2720,,,,,1194,103,True,EA,Each(es)
Commercial,,"INSERTION KIT,CATH URETH STR STRT TP FML12FRX6""(30",1034691-T12K,Purchase,A4353,1,99999,10.2720,10.2720,,,,,1190,103,True,EA,Each(es)
Commercial,,"INSERTION KIT, CATH URETH STR STRT TP FML 14FRX6""",1034692-T14K,Purchase,A4353,1,99999,10.2720,10.2720,,,,,1186,103,True,EA,Each(es)
Commercial,,"INSERTION KIT, CATH URETHRAL STR STRT TIP FML 16FR",1034693-T16K,Purchase,A4353,1,99999,10.2720,10.2720,,,,,1182,103,True,EA,Each(es)
Commercial,HME - Incontinence Products,"PAD, BLADDER CNTRL ATTENDS DISCREET MODERATE (20/B",1039118 BAG,Purchase,T4535,1,99999,0.2900,0.2900,,,,,815,103,True,BG,Bag(s)
Commercial,HME - Incontinence Products,"PAD, BLADDER CNTRL ATTENDS DISCREET MODERATE (20/B",1039118 CASE,Purchase,T4535,1,99999,0.2900,0.2900,,,,,816,103,True,CA,Case(s)
Commercial,,"CATHETER, URETH COUDE PCKT W/LUB ML 12FR (30/BX 10",1044621-M12ULC,Purchase,A4352,1,99999,9.4320,9.4320,,,,,1219,103,True,EA,Each(es)
Commercial,,"CATHETER, URETH COUDE PCKT W/LUB ML 14FR (30/BX 10",1044622-M14ULC,Purchase,A4352,1,99999,9.4320,9.4320,,,,,1213,103,True,EA,Each(es)
Commercial,,"CATHETER, URETH COUDE PCKT W/LUB ML 16FR (30/BX 10",1044623-M16ULC,Purchase,A4352,1,99999,9.4320,9.4320,,,,,1208,103,True,EA,Each(es)
Commercial,Enteral - Nutrients,1048205CASE,1048205CASE,Purchase,B4152,1,99999,1.6600,1.6600,,,,,1234,103,True,CA,Case(s)
Commercial,Enteral - Nutrients,1048205CASE,1048205CASE,Purchase,B4150,1,99999,0.5000,0.5000,,,,,1234,103,True,CA,Case(s)
Commercial,Enteral - Nutrients,1048205 EACH,1048205EACH,Purchase,B4152,1,99999,0.3900,0.3900,,,,,1233,103,True,EA,Each(es)
Commercial,Enteral - Nutrients,"TWOCAL HN, INST ARC VAN 8OZ (24/CS)",1048216 CASE,Purchase,B4152,1,99999,0.3900,0.3900,,,,,905,103,True,CA,Case(s)
Commercial,Enteral - Nutrients,"TWOCAL HN, INST ARC VAN 8OZ (24/CS)",1048216 EACH,Purchase,B4152,1,99999,0.3900,0.3900,,,,,904,103,True,EA,Each(es)
Commercial,,1048241 CASE,1048241 CASE,Purchase,B4150,1,99999,0.5000,0.5000,,,,,1073,103,True,CA,Case(s)
Commercial,,1048241 EACH,1048241 EACH,Purchase,B4150,1,99999,0.5000,0.5000,,,,,1072,103,True,EA,Each(es)
Commercial,Ambulatory Aids,Enteral Feeding / Irrigation Syringe Vesco® 10 mL,1051365 BOX,Purchase,A4322,1,99999,1.0100,1.0100,,,,,896,103,True,BX,Box(es)
Commercial,Ambulatory Aids,Enteral Feeding / Irrigation Syringe Vesco® 10 mL,1051365 CASE,Purchase,A4322,1,99999,1.0100,1.0100,,,,,897,103,True,CA,Case(s)
Commercial,Ambulatory Aids,Enteral Feeding / Irrigation Syringe Vesco® 10 mL,1051365 EACH,Purchase,A4322,1,99999,1.0100,1.0100,,,,,895,103,True,EA,Each(es)
Commercial,Bathroom Aids,"CATHETER, INTMT ML LF RTU 16"" 10FR (30/BX 10BX/CS)",1058058-ULTRA M10,Purchase,A4351,1,99999,2.2680,2.2680,,,,,1175,103,True,EA,Each(es)
Commercial,Bathroom Aids,"CATHETER, INTMT ML LF RTU 16"" 12FR (30/BX 10BX/CS)",1058059-ULTRA M12,Purchase,A4351,1,99999,2.2680,2.2680,,,,,1174,103,True,EA,Each(es)
Commercial,Bathroom Aids,"CATHETER, INTMT ML LF RTU 16"" 14FR (30/BX 10BX/CS)",1058060-Ultra M14,Purchase,A4351,1,99999,2.2680,2.2680,,,,,1172,103,True,EA,Each(es)
Commercial,Bathroom Aids,"CATHETER, INTMT ML LF RTU 16"" 16FR (30/BX 10BX/CS)",1058061-Ultra M16,Purchase,A4351,1,99999,2.2680,2.2680,,,,,1170,103,True,EA,Each(es)
Commercial,Bathroom Aids,"CATHETER, INTMT ML LF RTU 16"" 8FR (30/BX 10BX/CS)",1059898-Ultra M8,Purchase,A4351,1,99999,2.2680,2.2680,,,,,1159,103,True,EA,Each(es)
Commercial,HME - Incontinence Products,Underpad McKesson Classic 23 X 36 Inch Disposable,1061234 CASE,Purchase,A4554,1,99999,0.3360,0.2900,,,,,454,103,True,CA,Case(s)
Commercial,HME - Incontinence Products,Underpad McKesson Classic 23 X 36 Inch Disposable,1061234 CASE,Purchase,A4554,1,99999,0.3360,0.2900,,,,,454,103,True,CA,Case(s)
Commercial,HME - Incontinence Products,Underpad McKesson Classic 23 X 36 Inch Disposable,1061234 PACK,Purchase,A4554,1,99999,0.3360,0.2900,,,,,453,103,True,PH,Pack(s)
Commercial,HME - Incontinence Products,Underpad McKesson Classic 23 X 36 Inch Disposable,1061234 PACK,Purchase,A4554,1,99999,0.3360,0.2900,,,,,453,103,True,PH,Pack(s)
Commercial,Ambulatory Aids,Lubricating Jelly McKesson 3 Gram Individual Pack,1066698 BOX,Purchase,A4332,1,99999,0.1400,0.1400,,,,,982,103,True,BX,Box(es)
Commercial,Ambulatory Aids,Lubricating Jelly McKesson 3 Gram Individual Pack,1066698 CASE,Purchase,A4332,1,99999,0.1400,0.1400,,,,,983,103,True,CA,Case(s)
Commercial,Ambulatory Aids,Lubricating Jelly McKesson 3 Gram Individual Pack,1066698 EACH,Purchase,A4332,1,99999,0.1400,0.1400,,,,,981,103,True,EA,Each(es)
Commercial,Bathroom Aids,"LUBRICATING JELLY, STR FLIP TOP TU 4OZ (12/BX 6BX/",1066700 EACH,Purchase,A4402,1,99999,1.0000,0.4300,,,,,857,103,False,EA,Each(es)
Commercial,Bathroom Aids,Urethral Catheter Cure Catheter™ Straight Tip Hydr,1067714-HP8,Purchase,A4351,1,99999,2.2680,2.2680,,,,,1200,103,True,EA,Each(es)
Commercial,Bathroom Aids,Urethral Catheter Cure Catheter™ Straight Tip Hydr,1067715-HP10,Purchase,A4351,1,99999,2.2680,2.2680,,,,,1197,103,True,EA,Each(es)
Commercial,Bathroom Aids,Urethral Catheter Cure Catheter™ Straight Tip Hydr,1067720-HP12,Purchase,A4351,1,99999,2.2680,2.2680,,,,,1198,103,True,EA,Each(es)
Commercial,Bathroom Aids,Urethral Catheter Cure Catheter™ Straight Tip Hydr,1067725-HP14,Purchase,A4351,1,99999,2.2680,2.2680,,,,,1199,103,True,EA,Each(es)
Commercial,,"CATHETER, INTERMITTENT ULTRA COUDE TIP LF 12FR (30",1077561-ULTRAM12C,Purchase,A4352,1,99999,9.4320,9.4320,,,,,1173,103,True,EA,Each(es)
Commercial,,"CATHETER, INTERMITTENT ULTRA COUDE TIP LF 14FR (30",1077562-Ultra M14C,Purchase,A4352,1,99999,9.4320,9.4320,,,,,1171,103,True,EA,Each(es)
Commercial,,"CATHETER, INTERMITTENT ULTRA COUDE TIP LF 16FR (30",1077563-Ultra M16C,Purchase,A4352,1,99999,9.4320,9.4320,,,,,1169,103,True,EA,Each(es)
Commercial,,"CATHETER, INTERMITTENT ULTRA COUDE TIP LF 18FR (30",1077564-Ultra M18C,Purchase,A4352,1,99999,9.4320,9.4320,,,,,1140,103,True,EA,Each(es)
Commercial,Bathroom Aids,"INTERMITTENT URINARY CATHETER; STRAIGHT TIP, WITH",1088544-Ultra M18,Purchase,A4351,1,99999,2.2680,2.2680,,,,,1162,103,True,EA,Each(es)
Commercial,,Intermittent Catheter Kit Cure Catheter™ Closed,1091470-CB8,Purchase,A4353,1,99999,10.2720,10.2720,,,,,1147,103,True,EA,Each(es)
Commercial,HME - Incontinence Products,Underpad Beck's Classic 24 X 36 Inch Reusable Poly,1099650 EACH,Purchase,T4537,1,99999,13.4400,13.4400,,,,,730,103,True,EA,Each(es)
Commercial,,Intermittent Catheter Kit Cure Catheter™,1105063-HM12UK,Purchase,A4353,1,99999,10.2720,10.2720,,,,,1181,103,True,EA,Each(es)
Commercial,,Intermittentent Catheter Kit Cure Catheter™ U-Shap,1105064-HM14UK,Purchase,A4353,1,99999,10.2720,10.2720,,,,,1187,103,True,EA,Each(es)
Commercial,,Urethral Catheter Kit Cure Catheter™ U-Shape,1105065-HM16UK,Purchase,A4353,1,99999,10.2720,10.2720,,,,,1193,103,True,EA,Each(es)
Commercial,Enteral - Nutrients,1105970 CASE,1105970 CASE,Purchase,B4160,1,99999,0.6000,0.6000,,,,,1106,103,True,CA,Case(s)
Commercial,Enteral - Nutrients,Pediatric Oral Supplement / Tube Feeding Formula,1105970 EACH,Purchase,B4160,1,99999,0.6000,0.6000,,,,,1105,103,True,EA,Each(es)
Commercial,,"CATHETER, INTMT ULTRA COUDE TIP LF 10FR (30EA/BX 1",1114564-Ultra10C,Purchase,A4352,1,99999,9.4320,9.4320,,,,,1165,103,True,EA,Each(es)
Commercial,HME - Incontinence Products,"UNDERPAD, BED WATERPRF PVC BCKBLU/WHT 36""X54"" (10/",1120201 CASE,Purchase,T4537,1,99999,0.2800,0.2800,,,,,806,103,True,CA,Case(s)
Commercial,HME - Incontinence Products,"UNDERPAD, BED WATERPRF PVC BCKBLU/WHT 36""X54"" (10/",1120201 EACH,Purchase,T4537,1,99999,14.0000,13.4400,,,,,805,103,True,EA,Each(es)
Commercial,HME - Incontinence Products,"UNDERWEAR, SUPER MED 32-44 (20EA/BG 4BG/CS)",1123832 BAG,Purchase,T4522,1,99999,0.5100,0.5100,,,,,743,103,True,BG,Bag(s)
Commercial,HME - Incontinence Products,"UNDERWEAR, SUPER MED 32-44 (20EA/BG 4BG/CS)",1123832 CASE,Purchase,T4522,1,99999,0.5100,0.5100,,,,,744,103,True,CA,Case(s)
Commercial,HME - Incontinence Products,UNDERWEAR SUPER LG 44-58,1123833 BAG,Purchase,T4523,1,99999,0.6800,0.6800,,,,,756,103,True,BG,Bag(s)
Commercial,HME - Incontinence Products,UNDERWEAR SUPER LG 44-58 CASE,1123833 CASE,Purchase,T4523,1,99999,0.6800,0.6800,,,,,757,103,True,CA,Case(s)
