PriceTable,ItemGroup,ItemName,ItemId,PR,ProcCode,StartMonth,EndMonth,ChargeAmt,AllowAmt,Modifier1,Modifier2,Modifier3,Modifier4,ItemKey,PriceTableKey,AcceptAssignment,StockUomAbbr,StockUomName
NY Medicaid,Bathroom Aids,"CATHETER, URETH INTMT TWIST FML 8FR (30/BX 10BX/CS",1005463-T8,Purchase,A4351,1,99999,2.2700,2.2700,,,,,1180,105,True,EA,Each(es)
NY Medicaid,Bathroom Aids,"CATHETER, URETH INTMT TWIST FML 16FR (30/BX 10BX/C",1005465-T16,Purchase,A4351,1,99999,2.2700,2.2700,,,,,1184,105,True,EA,Each(es)
NY Medicaid,,Gastrostomy Feeding Tube Mic-Key® 14 Fr. 2.5 cm,1019948 Each,Purchase,B4088,1,99999,46.4200,46.4200,,,,,894,105,True,EA,Each(es)
NY Medicaid,Bathroom Aids,"CATHETER, INTERMITTENT FML 6"" 10FR (30/BX 10BX/CS)",1020188-Ultra10,Purchase,A4351,1,99999,2.2700,2.2700,,,,,1158,105,True,EA,Each(es)
NY Medicaid,Bathroom Aids,"CATHETER, INTERMITTENT FML 6"" 12FR (30/BX 10BX/CS)",1020189-Ultra12,Purchase,A4351,1,99999,2.2700,2.2700,,,,,1156,105,True,EA,Each(es)
NY Medicaid,Bathroom Aids,"CATHETER, INTERMITTENT FML 6"" 14FR (30/BX 10BX/CS)",1020190-Ultra14,Purchase,A4351,1,99999,2.2700,2.2700,,,,,1148,105,True,EA,Each(es)
NY Medicaid,Bathroom Aids,"CATHETER, INTERMITTENT FML 6"" 16FR (30/BX 10BX/CS)",1020191-Ultra16,Purchase,A4351,1,99999,2.2700,2.2700,,,,,1144,105,True,EA,Each(es)
NY Medicaid,Bathroom Aids,"CATHETER, INTERMITTENT FML 6"" 8FR (30/BX 10BX/CS)",1020192- Ultra8,Purchase,A4351,1,99999,2.2700,2.2700,,,,,1142,105,True,EA,Each(es)
NY Medicaid,Bathroom Aids,Urethral Catheter McKesson Straight Tip Uncoated,1020813 BOX,Purchase,A4351,1,99999,2.2700,2.2700,,,,,938,105,True,BX,Box(es)
NY Medicaid,Bathroom Aids,Urethral Catheter McKesson Straight Tip Uncoated,1020813 CASE,Purchase,A4351,1,99999,2.2700,2.2700,,,,,939,105,True,CA,Case(s)
NY Medicaid,Bathroom Aids,Urethral Catheter McKesson Straight Tip Uncoated,1020813 EACH,Purchase,A4351,1,99999,2.2700,2.2700,,,,,937,105,True,EA,Each(es)
NY Medicaid,Bathroom Aids,"CATHETER, INTMT W/LUBE/GRIP SLV 14FR 25"" (30/BX 10",1021100-M14XL,Purchase,A4351,1,99999,2.2700,2.2700,,,,,1212,105,True,EA,Each(es)
NY Medicaid,Ambulatory Aids,Enteral Feeding / Irrigation Syringe Vesco® 5 mL,1029294 EACH,Purchase,A4322,1,99999,4.4800,4.4800,,,,,1130,105,True,EA,Each(es)
NY Medicaid,,"INSERTION KIT, CATH URETH STR STRT TP FML 8FRX6"" (",1034689-T8K,Purchase,A4353,1,99999,10.2700,10.2700,,,,,1178,105,True,EA,Each(es)
NY Medicaid,,"INSERTION KIT, CATH URETH STR STRT TP FML10FRX6""(3",1034690-T10K,Purchase,A4353,1,99999,10.2700,10.2700,,,,,1194,105,True,EA,Each(es)
NY Medicaid,,"INSERTION KIT,CATH URETH STR STRT TP FML12FRX6""(30",1034691-T12K,Purchase,A4353,1,99999,10.2700,10.2700,,,,,1190,105,True,EA,Each(es)
NY Medicaid,,"INSERTION KIT, CATH URETH STR STRT TP FML 14FRX6""",1034692-T14K,Purchase,A4353,1,99999,10.2700,10.2700,,,,,1186,105,True,EA,Each(es)
NY Medicaid,,"INSERTION KIT, CATH URETHRAL STR STRT TIP FML 16FR",1034693-T16K,Purchase,A4353,1,99999,10.2700,10.2700,,,,,1182,105,True,EA,Each(es)
NY Medicaid,HME - Incontinence Products,"PAD, BLADDER CNTRL ATTENDS DISCREET MODERATE (20/B",1039118 BAG,Purchase,T4535,1,99999,0.2900,0.2900,,,,,815,105,True,BG,Bag(s)
NY Medicaid,HME - Incontinence Products,"PAD, BLADDER CNTRL ATTENDS DISCREET MODERATE (20/B",1039118 CASE,Purchase,T4535,1,99999,0.2900,0.2900,,,,,816,105,True,CA,Case(s)
NY Medicaid,,"CATHETER, URETH COUDE PCKT W/LUB ML 12FR (30/BX 10",1044621-M12ULC,Purchase,A4352,1,99999,9.4300,9.4300,,,,,1219,105,True,EA,Each(es)
NY Medicaid,,"CATHETER, URETH COUDE PCKT W/LUB ML 14FR (30/BX 10",1044622-M14ULC,Purchase,A4352,1,99999,9.4300,9.4300,,,,,1213,105,True,EA,Each(es)
NY Medicaid,,"CATHETER, URETH COUDE PCKT W/LUB ML 16FR (30/BX 10",1044623-M16ULC,Purchase,A4352,1,99999,9.4300,9.4300,,,,,1208,105,True,EA,Each(es)
NY Medicaid,Enteral - Nutrients,1048205CASE,1048205CASE,Purchase,B4150,1,99999,0.5000,0.5000,,,,,1234,105,True,CA,Case(s)
NY Medicaid,Enteral - Nutrients,1048205 EACH,1048205EACH,Purchase,B4152,1,99999,0.3900,0.3900,,,,,1233,105,True,EA,Each(es)
NY Medicaid,Enteral - Nutrients,"TWOCAL HN, INST ARC VAN 8OZ (24/CS)",1048216 CASE,Purchase,B4152,1,99999,0.3900,0.3900,,,,,905,105,True,CA,Case(s)
NY Medicaid,Enteral - Nutrients,"TWOCAL HN, INST ARC VAN 8OZ (24/CS)",1048216 EACH,Purchase,B4152,1,99999,0.3900,0.3900,,,,,904,105,True,EA,Each(es)
