PriceTable,ItemGroup,ItemName,ItemId,PR,ProcCode,StartMonth,EndMonth,ChargeAmt,AllowAmt,Modifier1,Modifier2,Modifier3,Modifier4,ItemKey,PriceTableKey,AcceptAssignment,StockUomAbbr,StockUomName
Medicare,Bathroom Aids,"CATHETER, URETH INTMT TWIST FML 8FR (30/BX 10BX/CS",1005463-T8,Purchase,A4351,1,99999,2.2680,2.1500,,,,,1180,102,True,EA,Each(es)
Medicare,Bathroom Aids,"CATHETER, URETH INTMT TWIST FML 16FR (30/BX 10BX/C",1005465-T16,Purchase,A4351,1,99999,2.2680,2.1500,,,,,1184,102,True,EA,Each(es)
Medicare,,Gastrostomy Feeding Tube Mic-Key® 14 Fr. 2.5 cm,1019948 Each,Purchase,B4088,1,99999,46.4160,37.5500,,,,,894,102,True,EA,Each(es)
Medicare,Bathroom Aids,"CATHETER, INTERMITTENT FML 6"" 10FR (30/BX 10BX/CS)",1020188-Ultra10,Purchase,A4351,1,99999,2.2680,2.1500,,,,,1158,102,True,EA,Each(es)
Medicare,Bathroom Aids,"CATHETER, INTERMITTENT FML 6"" 12FR (30/BX 10BX/CS)",1020189-Ultra12,Purchase,A4351,1,99999,2.2680,2.1500,,,,,1156,102,True,EA,Each(es)
Medicare,Bathroom Aids,"CATHETER, INTERMITTENT FML 6"" 14FR (30/BX 10BX/CS)",1020190-Ultra14,Purchase,A4351,1,99999,2.2680,2.1500,KX,,,,1148,102,True,EA,Each(es)
Medicare,Bathroom Aids,"CATHETER, INTERMITTENT FML 6"" 16FR (30/BX 10BX/CS)",1020191-Ultra16,Purchase,A4351,1,99999,2.2680,2.1500,,,,,1144,102,True,EA,Each(es)
Medicare,Bathroom Aids,"CATHETER, INTERMITTENT FML 6"" 8FR (30/BX 10BX/CS)",1020192- Ultra8,Purchase,A4351,1,99999,2.2680,2.1500,,,,,1142,102,True,EA,Each(es)
Medicare,Bathroom Aids,Urethral Catheter McKesson Straight Tip Uncoated,1020813 BOX,Purchase,A4351,1,99999,2.2680,2.1500,,,,,938,102,True,BX,Box(es)
Medicare,Bathroom Aids,Urethral Catheter McKesson Straight Tip Uncoated,1020813 CASE,Purchase,A4351,1,99999,2.2680,2.1500,,,,,939,102,True,CA,Case(s)
Medicare,Bathroom Aids,Urethral Catheter McKesson Straight Tip Uncoated,1020813 EACH,Purchase,A4351,1,99999,2.2680,2.1500,,,,,937,102,True,EA,Each(es)
Medicare,Bathroom Aids,"CATHETER, URETHRAL STRAIGHT TIP UNCOATED PVC MALE",1020817 BOX,Purchase,A4351,1,99999,2.2680,2.1500,,,,,796,102,True,BX,Box(es)
Medicare,Bathroom Aids,"CATHETER, URETHRAL STRAIGHT TIP UNCOATED PVC MALE",1020817 CASE,Purchase,A4351,1,99999,2.2680,2.1500,,,,,797,102,True,CA,Case(s)
Medicare,Bathroom Aids,"CATHETER, URETHRAL STRAIGHT TIP UNCOATED PVC MALE",1020817 EACH,Purchase,A4351,1,99999,2.2680,2.1500,,,,,795,102,True,EA,Each(es)
Medicare,Bathroom Aids,"CATHETER, INTMT W/LUBE/GRIP SLV 14FR 25"" (30/BX 10",1021100-M14XL,Purchase,A4351,1,99999,2.2680,2.1500,,,,,1212,102,True,EA,Each(es)
Medicare,Ambulatory Aids,Enteral Feeding / Irrigation Syringe Vesco® 5 mL,1029294 EACH,Purchase,A4322,1,99999,4.4760,4.2600,,,,,1130,102,True,EA,Each(es)
Medicare,,"INSERTION KIT, CATH URETH STR STRT TP FML 8FRX6"" (",1034689-T8K,Purchase,A4353,1,99999,10.2720,9.7700,,,,,1178,102,True,EA,Each(es)
Medicare,,"INSERTION KIT, CATH URETH STR STRT TP FML10FRX6""(3",1034690-T10K,Purchase,A4353,1,99999,10.2720,9.7700,,,,,1194,102,True,EA,Each(es)
